Epoch,Loss,Accuracy
1,1.3382326364517212,0.611328125
2,1.0609593391418457,0.689453125
3,0.9582761526107788,0.7119140625
4,0.8914329409599304,0.724609375
5,0.8414033651351929,0.74609375
6,0.7966547608375549,0.751953125
7,0.7788644433021545,0.7734375
8,0.7514065504074097,0.765625
9,0.7333228588104248,0.7685546875
10,0.6824548244476318,0.78515625
11,0.6766626238822937,0.7919921875
12,0.6631760597229004,0.7763671875
13,0.6588191986083984,0.7841796875
14,0.6716943383216858,0.775390625
15,0.657486081123352,0.79296875
16,0.6275317668914795,0.79296875
17,0.6302639842033386,0.8046875
18,0.606420636177063,0.8115234375
19,0.5872646570205688,0.80859375
20,0.5587537884712219,0.826171875
21,0.5911022424697876,0.8203125
22,0.574522852897644,0.8193359375
23,0.5391055345535278,0.8134765625
24,0.537604808807373,0.8173828125
25,0.5643856525421143,0.8193359375
26,0.5402103662490845,0.826171875
27,0.5239999294281006,0.822265625
28,0.5358821749687195,0.82421875
29,0.5282605886459351,0.8271484375
30,0.5376777052879333,0.83203125
31,0.5321601629257202,0.8291015625
32,0.5421295762062073,0.8154296875
33,0.5301700830459595,0.82421875
