Epoch,Loss,Accuracy
1,1.9175126552581787,0.4306640625
2,1.473158597946167,0.5400390625
3,1.3242696523666382,0.5927734375
4,1.219533085823059,0.6298828125
5,1.1460150480270386,0.6591796875
6,1.0991082191467285,0.66796875
7,1.0489952564239502,0.6669921875
8,1.0109201669692993,0.6884765625
9,0.9713422656059265,0.701171875
10,0.9528175592422485,0.6943359375
11,0.9192376136779785,0.70703125
12,0.8619517683982849,0.7314453125
13,0.8603832125663757,0.7275390625
14,0.8405004739761353,0.7216796875
15,0.8238648176193237,0.7275390625
16,0.8045945763587952,0.7412109375
17,0.7970125079154968,0.7451171875
18,0.7832791805267334,0.7373046875
19,0.7546100616455078,0.7548828125
20,0.7539464235305786,0.755859375
21,0.7639107704162598,0.75390625
22,0.7163655757904053,0.7685546875
23,0.7122913599014282,0.7705078125
24,0.6970525979995728,0.7802734375
25,0.6801366209983826,0.7744140625
26,0.6982356309890747,0.775390625
27,0.6571002006530762,0.794921875
28,0.6795464158058167,0.78125
29,0.6843299865722656,0.7783203125
30,0.6439764499664307,0.7919921875
31,0.651574969291687,0.7890625
32,0.623703122138977,0.7978515625
33,0.6279797554016113,0.8076171875
34,0.6374922394752502,0.80078125
35,0.5999433994293213,0.80859375
36,0.596851646900177,0.8173828125
37,0.5862458348274231,0.8115234375
38,0.5887051820755005,0.814453125
39,0.6214814782142639,0.80078125
40,0.6355797648429871,0.7919921875
41,0.5630687475204468,0.814453125
42,0.5843635201454163,0.814453125
43,0.5532218217849731,0.8212890625
44,0.5955763459205627,0.810546875
45,0.5970789790153503,0.7958984375
46,0.5720211267471313,0.8056640625
47,0.5944207310676575,0.80078125
48,0.5642255544662476,0.826171875
49,0.5688842535018921,0.796875
