Epoch,Loss,Accuracy
1,1.2906509637832642,0.6376953125
2,1.0153014659881592,0.6962890625
3,0.9190841317176819,0.71875
4,0.8332606554031372,0.7548828125
5,0.7967361807823181,0.76953125
6,0.7563478350639343,0.7763671875
7,0.7204541563987732,0.7802734375
8,0.6845844388008118,0.77734375
9,0.6569864749908447,0.7880859375
10,0.6144838929176331,0.796875
11,0.5819162130355835,0.814453125
12,0.5581981539726257,0.8203125
13,0.5406410694122314,0.818359375
14,0.5110151171684265,0.833984375
15,0.4831613302230835,0.845703125
16,0.45526719093322754,0.8486328125
17,0.4589637517929077,0.85546875
18,0.4334934949874878,0.86328125
19,0.39860856533050537,0.8759765625
20,0.3914412260055542,0.8759765625
21,0.3903577923774719,0.873046875
22,0.36518824100494385,0.8798828125
23,0.3526085913181305,0.8857421875
24,0.3410305380821228,0.8828125
25,0.33646082878112793,0.8876953125
26,0.3214813470840454,0.89453125
27,0.327019065618515,0.88671875
28,0.31363609433174133,0.892578125
29,0.31541869044303894,0.8935546875
30,0.30054688453674316,0.892578125
31,0.30941471457481384,0.8955078125
32,0.2865297496318817,0.90625
33,0.30222418904304504,0.90234375
34,0.28291645646095276,0.9130859375
35,0.2845246493816376,0.900390625
36,0.28262484073638916,0.904296875
37,0.2770478129386902,0.8984375
38,0.2651984989643097,0.908203125
39,0.26815035939216614,0.9130859375
40,0.2729058563709259,0.904296875
41,0.24261920154094696,0.9130859375
42,0.2272207885980606,0.9189453125
43,0.2453012466430664,0.9111328125
44,0.2630789279937744,0.9130859375
45,0.24213233590126038,0.9169921875
46,0.26734021306037903,0.908203125
47,0.23578783869743347,0.919921875
48,0.24060671031475067,0.9208984375
