Epoch,Loss,Accuracy
1,1.3857321739196777,0.609375
2,1.096389651298523,0.6708984375
3,0.9756131172180176,0.708984375
4,0.9060279726982117,0.728515625
5,0.8588041067123413,0.7451171875
6,0.8390704393386841,0.7431640625
7,0.8052634596824646,0.75
8,0.7766178250312805,0.7646484375
9,0.7624581456184387,0.7685546875
10,0.7393317818641663,0.7724609375
11,0.716924786567688,0.775390625
12,0.6976653337478638,0.7783203125
13,0.6776514649391174,0.791015625
14,0.6708053946495056,0.7919921875
15,0.655310869216919,0.7998046875
16,0.6450943946838379,0.796875
17,0.6408737897872925,0.8037109375
18,0.62508624792099,0.8056640625
19,0.6049486994743347,0.8056640625
20,0.6003276109695435,0.8095703125
21,0.5941920280456543,0.8193359375
22,0.5888625383377075,0.8154296875
23,0.57663893699646,0.8125
24,0.5631640553474426,0.8125
25,0.5659281015396118,0.818359375
26,0.5443775057792664,0.8203125
27,0.5447543859481812,0.8212890625
28,0.5308140516281128,0.830078125
29,0.5250830054283142,0.8359375
30,0.5177157521247864,0.830078125
31,0.5178057551383972,0.8330078125
32,0.5051580667495728,0.837890625
33,0.5050783753395081,0.833984375
34,0.4932936429977417,0.833984375
35,0.4886897802352905,0.8330078125
36,0.4852830171585083,0.83984375
37,0.49609681963920593,0.8291015625
38,0.4733069837093353,0.8388671875
39,0.4759882986545563,0.8447265625
40,0.496482789516449,0.8408203125
41,0.49595022201538086,0.837890625
42,0.4891665279865265,0.8369140625
43,0.49531808495521545,0.8388671875
44,0.4874480664730072,0.84375
