Epoch,Loss,Accuracy
1,1.3932106494903564,0.611328125
2,1.1431715488433838,0.662109375
3,1.038602590560913,0.6884765625
4,0.9633182287216187,0.7119140625
5,0.9205321073532104,0.7197265625
6,0.8837610483169556,0.732421875
7,0.8546831011772156,0.734375
8,0.8173161149024963,0.76171875
9,0.8086686134338379,0.7587890625
10,0.7959118485450745,0.7529296875
11,0.8003871440887451,0.751953125
12,0.7786824107170105,0.7578125
13,0.771310567855835,0.7568359375
14,0.7732232809066772,0.7568359375
15,0.7572181224822998,0.751953125
16,0.7532984614372253,0.7685546875
17,0.7465170621871948,0.7607421875
18,0.7279618382453918,0.7666015625
19,0.7378217577934265,0.775390625
20,0.73796147108078,0.7666015625
21,0.7145289182662964,0.7783203125
22,0.7464900612831116,0.7626953125
23,0.7110146284103394,0.771484375
24,0.7021183967590332,0.7763671875
25,0.724629819393158,0.771484375
26,0.6873633861541748,0.7939453125
27,0.7153173089027405,0.7744140625
28,0.7250626683235168,0.7626953125
29,0.7286662459373474,0.7626953125
30,0.7104442119598389,0.779296875
31,0.6765519976615906,0.7763671875
32,0.6837074160575867,0.7890625
33,0.6758730411529541,0.791015625
34,0.6760857105255127,0.7861328125
35,0.695688009262085,0.779296875
36,0.6726633310317993,0.7763671875
37,0.6868318319320679,0.78515625
38,0.7135253548622131,0.7763671875
39,0.671887993812561,0.783203125
40,0.6489757299423218,0.783203125
41,0.6806502342224121,0.7939453125
42,0.6542732119560242,0.7880859375
43,0.6653159856796265,0.796875
44,0.6797257661819458,0.7861328125
45,0.6867074966430664,0.77734375
46,0.6510540246963501,0.791015625
