Epoch,Loss,Accuracy
1,1.9217545986175537,0.4521484375
2,1.5523263216018677,0.5458984375
3,1.3991461992263794,0.5859375
4,1.2808642387390137,0.609375
5,1.2145673036575317,0.6298828125
6,1.1503002643585205,0.6337890625
7,1.1158008575439453,0.64453125
8,1.0750510692596436,0.6640625
9,1.040959119796753,0.671875
10,1.015810489654541,0.6748046875
11,1.0003467798233032,0.68359375
12,0.9706568121910095,0.697265625
13,0.9471162557601929,0.701171875
14,0.9155789613723755,0.7080078125
15,0.8982648849487305,0.72265625
16,0.8819777369499207,0.732421875
17,0.8727664947509766,0.732421875
18,0.8449441194534302,0.734375
19,0.8265302181243896,0.732421875
20,0.8130475878715515,0.74609375
21,0.7986448407173157,0.74609375
22,0.7872536778450012,0.74609375
23,0.768546462059021,0.7568359375
24,0.769766628742218,0.7646484375
25,0.7672187685966492,0.7568359375
26,0.7590451836585999,0.7626953125
27,0.7355827689170837,0.771484375
28,0.7332153916358948,0.7724609375
29,0.7225290536880493,0.7744140625
30,0.7100505828857422,0.77734375
31,0.6978581547737122,0.779296875
32,0.6935728192329407,0.77734375
33,0.6821920871734619,0.791015625
34,0.6780060529708862,0.79296875
35,0.6617465615272522,0.7998046875
36,0.6563225984573364,0.7998046875
37,0.6650922298431396,0.7919921875
38,0.6513965725898743,0.7978515625
39,0.6454091668128967,0.8037109375
40,0.637436032295227,0.8037109375
41,0.6249351501464844,0.806640625
42,0.6198970079421997,0.8203125
43,0.6075714230537415,0.8134765625
44,0.6028119325637817,0.8232421875
45,0.6035432815551758,0.81640625
46,0.5883640050888062,0.818359375
47,0.5764109492301941,0.8193359375
48,0.5836801528930664,0.8173828125
49,0.5709925889968872,0.8203125
50,0.5782757997512817,0.8212890625
51,0.5833132863044739,0.8212890625
52,0.5666738748550415,0.8310546875
53,0.589511513710022,0.8125
54,0.5766072273254395,0.8203125
55,0.5974087715148926,0.8193359375
56,0.571675181388855,0.8203125
57,0.5662855505943298,0.8193359375
58,0.5522792339324951,0.8251953125
59,0.554759681224823,0.8193359375
60,0.5522127151489258,0.8271484375
61,0.547084391117096,0.8388671875
62,0.5324183702468872,0.8369140625
63,0.532804012298584,0.83984375
64,0.5121164321899414,0.837890625
65,0.5200075507164001,0.837890625
66,0.5214753746986389,0.8388671875
67,0.5242031216621399,0.8330078125
68,0.5073865056037903,0.84375
69,0.5167672038078308,0.837890625
70,0.5047601461410522,0.83203125
71,0.48197606205940247,0.8466796875
72,0.5078004598617554,0.8427734375
73,0.5219717621803284,0.822265625
74,0.5165063142776489,0.8359375
75,0.4893091917037964,0.841796875
76,0.4942266345024109,0.8466796875
77,0.4943673610687256,0.837890625
